year,master_chronology,SLC06B
1630,2.235869998,NA
1631,1.132328703,NA
1632,-0.841564282,NA
1633,-0.130123647,NA
1634,1.247762822,NA
1635,1.638606085,NA
1636,0.222738525,NA
1637,1.203137934,NA
1638,2.055554049,NA
1639,1.195772283,NA
1640,1.715856875,NA
1641,1.386419714,NA
1642,1.509306738,NA
1643,-0.36778324,NA
1644,-0.45307717,NA
1645,0.771905572,NA
1646,1.413592355,NA
1647,0.820585831,NA
1648,0.180248887,NA
1649,0.715319634,NA
1650,1.978084088,NA
1651,0.935713879,NA
1652,0.445541163,NA
1653,0.877161519,NA
1654,1.361232497,NA
1655,2.339152265,NA
1656,0.566461604,NA
1657,1.533628509,NA
1658,0.540780674,NA
1659,0.308551136,NA
1660,2.044395312,NA
1661,1.47138373,NA
1662,1.475049439,NA
1663,1.691701112,NA
1664,0.900841121,NA
1665,1.267905212,NA
1666,-0.014071594,NA
1667,0.910193182,NA
1668,-0.400849161,NA
1669,-1.453546119,NA
1670,-0.294211864,NA
1671,-0.266837393,NA
1672,-0.088826567,NA
1673,2.092952081,NA
1674,3.398928031,NA
1675,1.912562577,NA
1676,0.278125188,NA
1677,1.6785953,NA
1678,0.074105503,NA
1679,1.254530137,NA
1680,2.259505324,NA
1681,1.618863731,NA
1682,1.334944069,NA
1683,1.124796034,NA
1684,1.078302631,NA
1685,-1.15032024,NA
1686,-0.055803224,NA
1687,0.009875286,NA
1688,0.298643013,NA
1689,1.157698216,NA
1690,1.808604723,NA
1691,0.801203035,NA
1692,1.338288809,NA
1693,1.158238639,NA
1694,1.151479022,NA
1695,2.438930843,NA
1696,0.05858434,NA
1697,1.263130566,NA
1698,1.203910163,NA
1699,0.763167973,NA
1700,0.294965051,NA
1701,1.777691384,NA
1702,1.613658193,NA
1703,1.269555645,NA
1704,0.314085518,NA
1705,0.13545723,NA
1706,-0.089498234,NA
1707,-0.238640163,NA
1708,0.502512612,NA
1709,-0.377148814,NA
1710,1.044644331,NA
1711,1.317245804,NA
1712,1.635365748,NA
1713,1.060225796,NA
1714,2.339535513,NA
1715,1.338426704,NA
1716,-0.094270079,NA
1717,1.357937188,NA
1718,1.638711314,NA
1719,0.658391733,NA
1720,0.637824203,NA
1721,0.625628629,NA
1722,1.01135455,NA
1723,1.723640852,NA
1724,0.537937722,NA
1725,0.31992226,NA
1726,2.915899593,NA
1727,1.29817006,NA
1728,1.060068567,NA
1729,0.540016705,NA
1730,0.176451005,NA
1731,0.715162624,NA
1732,1.381435791,NA
1733,-1.073205217,NA
1734,0.642561713,NA
1735,0.659750697,NA
1736,1.77399482,NA
1737,2.329220383,NA
1738,0.90477069,NA
1739,0.777383654,NA
1740,0.393730916,NA
1741,0.935076006,NA
1742,0.21664662,NA
1743,1.271727354,NA
1744,0.696300453,NA
1745,1.403372704,NA
1746,2.910726136,NA
1747,2.825519411,NA
1748,-0.291392738,NA
1749,1.94312509,NA
1750,1.364938696,NA
1751,0.07548293,1.015840429
1752,-0.398158516,0.906506127
1753,-1.249796541,0.00814647
1754,0.538684009,2.556771307
1755,0.633023227,1.030504118
1756,0.59389998,1.371220703
1757,0.611360535,1.280362286
1758,1.753728333,1.461636818
1759,1.585006612,0.465973613
1760,1.333439486,-0.042004744
1761,0.328237695,-0.098740587
1762,1.475491645,0.752144377
1763,0.17598105,1.280617242
1764,2.194401833,2.014979781
1765,1.22927845,1.317776618
1766,1.997125909,1.745600772
1767,0.281727576,0.615431599
1768,0.292814746,0.811482885
1769,1.447693519,1.352326748
1770,1.314137622,1.477088953
1771,2.155634752,2.024126787
1772,1.181803019,0.515929334
1773,0.270015904,0.355910697
1774,0.425407854,0.053065737
1775,0.898598119,1.017430747
1776,0.385646265,1.339765756
1777,0.541844197,0.883248487
1778,0.610586416,1.449205604
1779,1.507444054,1.027223803
1780,1.488502397,0.968782774
1781,0.410626617,0.821844463
1782,-0.291772979,-0.410474449
1783,1.381775961,2.645346076
1784,2.127450411,2.674097294
1785,2.012901687,1.03402579
1786,0.911342204,0.731649147
1787,0.623911761,1.232332938
1788,0.411293488,0.513677884
1789,0.787873426,0.91367513
1790,-1.065555435,-0.96274425
1791,1.15800789,1.400214132
1792,1.099823891,1.319272516
1793,1.942785526,2.547534536
1794,0.10950475,-0.15868426
1795,1.553181226,1.185426567
1796,0.952829445,0.524322171
1797,0.780391181,0.084611198
1798,0.525734368,0.550348038
1799,1.453157001,1.85886353
1800,1.563900754,2.246563949
1801,0.883833682,1.180178023
1802,1.688829752,1.468653125
1803,0.602548529,0.468117325
1804,2.044634171,2.317486045
1805,0.904360379,0.580855144
1806,-0.329401856,0.003802963
1807,0.492446636,1.48183608
1808,-0.006488797,0.122341027
1809,1.332702824,0.807133405
1810,1.77969428,1.395640076
1811,1.539645405,1.747172574
1812,0.973559296,1.213110673
1813,0.792440634,0.341132218
1814,0.273875798,0.357355416
1815,2.158509076,1.302237482
1816,2.282061886,2.23431343
1817,1.382937216,1.194913295
1818,1.088055698,0.894679858
1819,0.207959813,0.865608986
1820,-0.274842574,0.94490696
1821,1.020865122,1.792062744
1822,0.32979055,0.407026547
1823,0.543135817,0.114412697
1824,1.486624127,1.329501677
1825,1.056731099,0.506159453
1826,0.594678506,0.794774835
1827,1.099497389,0.85448534
1828,1.06684364,1.240690977
1829,0.325765996,0.614466321
1830,0.953473608,2.374386063
1831,1.350442973,1.921229978
1832,1.193654856,2.181334756
1833,1.930259728,1.4005373
1834,0.802098461,0.655742365
1835,1.379326354,0.558469561
1836,0.221558371,-0.203721504
1837,1.771529046,0.628284191
1838,1.08235686,0.656779455
1839,2.089996327,2.024207867
1840,1.074405162,1.274439095
1841,-0.430468007,-0.01006404
1842,-0.110251418,-0.356313137
1843,0.068528484,0.445440993
1844,1.01821553,0.662232783
1845,1.313920667,1.012043382
1846,1.618553345,1.979732765
1847,-0.679181909,0.148064748
1848,0.5894996,-0.241037042
1849,0.95217467,0.061999682
1850,1.589967328,0.815999378
1851,0.769886001,1.730325543
1852,1.80648463,2.873919267
1853,1.139929482,1.551023713
1854,0.836088762,2.057824243
1855,0.58126879,1.344710445
1856,0.97348405,0.886682072
1857,1.090877468,0.826633623
1858,1.695559697,0.857379714
1859,1.13819515,1.275550507
1860,0.941432172,0.713450431
1861,1.162867664,1.019737665
1862,0.449307454,0.632455096
1863,-0.250159129,-0.009676095
1864,-0.346978925,-0.02562167
1865,0.834911874,0.248491162
1866,0.914374904,0.312553496
1867,1.242378596,2.147235561
1868,2.408296344,4.132923997
1869,1.592318965,1.419303759
1870,1.170194023,0.774024424
1871,1.215174865,1.502449553
1872,0.12333934,1.155006396
1873,-0.04117706,0.58538748
1874,1.635427426,0.730348887
1875,1.74094955,0.498843175
1876,1.467732551,0.662584086
1877,1.482374148,1.068930621
1878,0.344326586,0.178863035
1879,0.490028652,-0.216767771
1880,0.856300123,0.697877904
1881,-0.094596206,-0.500697641
1882,1.119535922,0.79282865
1883,0.948443865,0.939859814
1884,1.243299131,1.020380508
1885,1.700781122,0.800641529
1886,1.038224835,1.082285718
1887,0.863887903,1.016436004
1888,1.621562201,4.054167898
1889,1.789349772,1.546044996
1890,1.15613201,3.189477945
