year,master_chronology,SLC05A
1630,2.23587,NA
1631,1.1323287,NA
1632,-0.8415643,NA
1633,-0.1301236,NA
1634,1.24776282,NA
1635,1.63860609,NA
1636,0.22273852,NA
1637,1.20313793,NA
1638,2.05555405,NA
1639,1.19577228,NA
1640,1.71585688,NA
1641,1.38641971,NA
1642,1.50930674,NA
1643,-0.3677832,NA
1644,-0.4530772,NA
1645,0.77190557,NA
1646,1.41359236,NA
1647,0.82058583,NA
1648,0.18024889,NA
1649,0.71531963,NA
1650,1.97808409,NA
1651,0.93571388,NA
1652,0.44554116,NA
1653,0.87716152,NA
1654,1.3612325,NA
1655,2.33915227,NA
1656,0.5664616,NA
1657,1.53362851,NA
1658,0.54078067,NA
1659,0.30855114,NA
1660,2.04439531,NA
1661,1.47138373,NA
1662,1.47504944,NA
1663,1.69170111,NA
1664,0.90084112,NA
1665,1.26790521,NA
1666,-0.0140716,NA
1667,0.91019318,NA
1668,-0.4008492,NA
1669,-1.4535461,NA
1670,-0.2942119,NA
1671,-0.2668374,NA
1672,-0.0888266,NA
1673,2.09295208,NA
1674,3.39892803,NA
1675,1.91256258,NA
1676,0.27812519,NA
1677,1.6785953,NA
1678,0.0741055,NA
1679,1.25453014,NA
1680,2.25950532,NA
1681,1.61886373,NA
1682,1.33494407,NA
1683,1.12479603,NA
1684,1.07830263,NA
1685,-1.1503202,NA
1686,-0.0558032,NA
1687,0.00987529,NA
1688,0.29864301,NA
1689,1.15769822,NA
1690,1.80860472,NA
1691,0.80120303,NA
1692,1.33828881,NA
1693,1.15823864,NA
1694,1.15147902,NA
1695,2.43893084,NA
1696,0.05858434,NA
1697,1.26313057,NA
1698,1.20391016,NA
1699,0.76316797,NA
1700,0.29496505,NA
1701,1.77769138,NA
1702,1.61365819,NA
1703,1.26955564,NA
1704,0.31408552,NA
1705,0.13545723,NA
1706,-0.0894982,1.061240686
1707,-0.2386402,0.132924193
1708,0.50251261,-0.342400007
1709,-0.3771488,0.509118016
1710,1.04464433,3.239189501
1711,1.3172458,1.838815124
1712,1.63536575,2.040779698
1713,1.0602258,1.086008352
1714,2.33953551,1.530646179
1715,1.3384267,1.33270484
1716,-0.0942701,-0.878636551
1717,1.35793719,0.321055562
1718,1.63871131,0.380520628
1719,0.65839173,0.905994755
1720,0.6378242,1.23729426
1721,0.62562863,0.52197706
1722,1.01135455,1.427125766
1723,1.72364085,0.540830713
1724,0.53793772,-1.054710841
1725,0.31992226,4.290204519
1726,2.91589959,3.562278325
1727,1.29817006,1.547027498
1728,1.06006857,1.024061178
1729,0.54001671,-1.349863403
1730,0.17645101,0.988909835
1731,0.71516262,1.626594741
1732,1.38143579,0.510818789
1733,-1.0732052,-0.32577772
1734,0.64256171,-0.56101332
1735,0.6597507,-0.297255005
1736,1.77399482,1.120992611
1737,2.32922038,2.568315987
1738,0.90477069,2.613012034
1739,0.77738365,1.740880746
1740,0.39373092,0.130440261
1741,0.93507601,0.742607013
1742,0.21664662,-0.471154876
1743,1.27172735,0.325689882
1744,0.69630045,0.696675933
1745,1.4033727,0.973582661
1746,2.91072614,2.69848389
1747,2.82551941,2.514038383
1748,-0.2913927,-0.738266187
1749,1.94312509,3.24260027
1750,1.3649387,2.703435363
1751,0.07548293,-0.137097352
1752,-0.3981585,-0.300556624
1753,-1.2497965,-0.082046184
1754,0.53868401,1.195947055
1755,0.63302323,0.636243732
1756,0.59389998,1.663481062
1757,0.61136053,1.844786665
1758,1.75372833,3.434440078
1759,1.58500661,1.582147772
1760,1.33343949,-0.789214129
1761,0.3282377,-1.141677008
1762,1.47549165,-1.29073653
1763,0.17598105,-0.48280517
