year,master_chronology,SLC07A
1630,2.235869998,NA
1631,1.132328703,NA
1632,-0.841564282,NA
1633,-0.130123647,NA
1634,1.247762822,NA
1635,1.638606085,NA
1636,0.222738524,NA
1637,1.203137934,NA
1638,2.055554049,NA
1639,1.195772282,NA
1640,1.715856875,NA
1641,1.386419714,NA
1642,1.509306738,NA
1643,-0.36778324,NA
1644,-0.453077169,NA
1645,0.771905572,NA
1646,1.413592355,NA
1647,0.820585831,NA
1648,0.180248886,NA
1649,0.715319634,NA
1650,1.978084087,NA
1651,0.935713879,NA
1652,0.445541163,NA
1653,0.877161519,NA
1654,1.361232496,NA
1655,2.339152265,NA
1656,0.566461604,NA
1657,1.53362851,NA
1658,0.540780673,NA
1659,0.308551136,NA
1660,2.044395312,NA
1661,1.47138373,NA
1662,1.475049439,NA
1663,1.691701112,NA
1664,0.900841121,NA
1665,1.267905212,NA
1666,-0.014071594,NA
1667,0.910193182,NA
1668,-0.400849161,NA
1669,-1.45354612,NA
1670,-0.294211864,NA
1671,-0.266837394,NA
1672,-0.088826567,NA
1673,2.092952082,NA
1674,3.398928031,NA
1675,1.912562577,NA
1676,0.278125187,NA
1677,1.6785953,NA
1678,0.074105503,NA
1679,1.254530137,NA
1680,2.259505324,NA
1681,1.61886373,NA
1682,1.334944069,NA
1683,1.124796033,NA
1684,1.078302631,NA
1685,-1.15032024,NA
1686,-0.055803224,NA
1687,0.009875286,NA
1688,0.298643013,NA
1689,1.157698215,NA
1690,1.808604723,NA
1691,0.801203035,NA
1692,1.338288809,NA
1693,1.158238639,NA
1694,1.151479022,NA
1695,2.438930843,NA
1696,0.05858434,NA
1697,1.263130567,NA
1698,1.203910163,NA
1699,0.763167973,NA
1700,0.294965051,NA
1701,1.777691384,NA
1702,1.613658193,NA
1703,0.954481904,NA
1704,0.38777415,NA
1705,0.21942618,NA
1706,0.132244343,NA
1707,-0.09586768,NA
1708,0.653726898,NA
1709,-0.165818791,NA
1710,1.611041346,NA
1711,0.566131776,NA
1712,1.63327562,NA
1713,1.348473287,NA
1714,2.156058279,NA
1715,1.2024902,NA
1716,-0.096043626,NA
1717,1.400711134,NA
1718,1.405525009,NA
1719,0.609962312,NA
1720,0.786182286,NA
1721,0.619887453,NA
1722,1.064835717,NA
1723,1.472847164,NA
1724,0.600358256,NA
1725,0.67207761,NA
1726,3.254889453,NA
1727,1.270796095,NA
1728,0.698946446,NA
1729,0.225014364,NA
1730,0.223577892,NA
1731,0.606523574,NA
1732,1.356528075,NA
1733,-0.640031705,0.598682349
1734,0.606363107,1.930965821
1735,0.605692487,0.596070322
1736,1.832131216,1.275750276
1737,2.219146987,2.298438428
1738,1.759157167,1.187122313
1739,0.779751845,-0.071378374
1740,0.34098393,0.011493571
1741,0.789497318,-0.114808394
1742,0.298639244,-0.070477689
1743,1.513617755,0.579600539
1744,0.738844866,1.025339656
1745,1.545611202,1.141274849
1746,2.514765719,4.862035181
1747,2.823888628,2.368500019
1748,-0.31842376,-0.044354278
1749,2.313937307,2.048935256
1750,1.159917323,1.974132133
1751,-0.030625698,0.502744749
1752,-0.354144564,-0.317507685
1753,-0.782186774,-1.312938527
1754,0.466602227,0.004594732
1755,0.483097451,0.249712982
1756,0.680517949,2.442754571
1757,0.018610628,1.630473076
1758,1.72234699,-0.025288745
1759,1.63330959,0.05208455
1760,0.576766,-0.376158287
1761,0.072002263,0.984112385
1762,1.447543403,0.265218323
1763,0.570309357,1.155211248
1764,2.238137371,1.8358774
1765,1.109096089,2.831896619
1766,2.16627845,0.476654822
1767,0.568081361,1.151250303
1768,0.210743951,0.673979778
1769,1.962487951,1.066158703
1770,0.859686319,1.827204037
1771,2.001081376,3.107328894
1772,0.989622859,0.905206164
1773,0.230879117,0.410284788
1774,0.658698035,0.937564091
1775,1.365608245,0.056282279
1776,0.423844551,-0.013187772
1777,0.648968483,0.19769631
1778,0.610586414,1.433635771
1779,0.927398762,1.673874578
1780,1.075315361,0.087386925
1781,1.001712895,-0.683945091
1782,-0.033389287,1.285354569
1783,1.535303391,3.112058431
1784,2.161389732,1.443109224
1785,2.092127238,1.390037683
1786,0.805848982,2.600263284
1787,0.70809498,1.253845614
1788,0.336572421,0.519744132
1789,0.614422359,0.464696145
1790,-1.05368316,-0.887445905
1791,0.983890537,0.617881025
1792,1.229624714,1.814085856
1793,1.919851172,2.214380766
1794,0.156136971,-0.808821719
1795,1.414797929,-0.041189101
1796,1.204461843,1.066878167
1797,0.758141716,1.543062684
1798,0.790177977,0.969548211
1799,1.460833393,1.448145872
1800,1.495293004,1.561571755
1801,0.874398708,1.696130679
1802,1.656171241,1.717927102
1803,0.84156233,0.51548632
1804,1.017754412,2.003120564
1805,0.450106447,0.959303
1806,-0.675201092,-0.695260418
1807,0.982238607,1.680695435
1808,-0.235358335,-0.725733836
1809,1.196279169,0.623169447
1810,1.963055849,1.146809245
1811,1.315504628,1.770292443
1812,1.246151936,1.80171861
1813,0.65783318,-0.008246274
1814,0.1645754,1.264008738
1815,2.168636481,2.425220449
1816,3.144725113,3.113162819
1817,1.538905648,1.259334867
1818,0.978225122,0.119742596
1819,0.025818324,-0.07194956
1820,-0.071845175,0.124463744
1821,1.187562931,1.580395216
1822,0.195886902,-0.091121636
1823,0.472841346,0.384168314
1824,1.428449981,0.925381759
1825,0.735608235,-0.164235678
1826,0.152876503,1.579780345
1827,0.886677393,0.959768712
1828,1.139936274,0.924404456
1829,-0.161663986,1.511498954
1830,0.838765258,0.998766385
1831,1.446305229,1.116663293
1832,1.31903956,1.461179939
1833,1.925385456,2.347398367
1834,0.508240546,0.866636385
1835,1.614712987,2.193833187
1836,0.390438768,0.38136346
1837,1.841313033,1.525992674
1838,1.247273017,0.355568285
1839,2.41206497,1.893988254
1840,0.974638219,0.482979787
1841,-0.192005708,-0.380240749
1842,0.032174431,-0.543760588
1843,-0.119219203,0.689534983
1844,1.009831407,1.119492671
1845,1.267842284,1.09479426
1846,1.747415045,2.568073396
1847,-0.669596561,-0.295679184
1848,0.427490664,0.023276147
1849,0.877932928,1.936643567
1850,1.507609542,0.763187615
1851,0.666174708,0.985412722
1852,1.67404981,1.576716677
1853,1.190104003,1.101197765
1854,0.994235831,1.904813331
1855,0.864493379,0.332311579
1856,0.91106358,0.942980215
1857,0.594996779,1.316121229
1858,1.290870184,0.532149924
1859,1.250922635,1.346162526
1860,1.10422011,1.643020989
1861,1.24716579,2.891570908
1862,0.985109233,0.850500922
1863,-0.216709361,-0.576555067
1864,0.010727464,-0.449926707
1865,0.881658737,1.523327248
1866,0.856546737,0.186251727
1867,1.261497852,0.245039416
1868,2.555515487,2.41066178
1869,1.204560256,1.269662531
1870,1.193276075,1.905881655
1871,0.988821603,2.112484129
1872,-0.20639979,-0.252792351
1873,-0.033846841,0.163536976
1874,1.535953817,0.535756861
1875,1.813185714,2.219554095
1876,1.724838218,1.574707331
1877,1.906645971,1.88190652
1878,0.1928154,0.369886762
1879,0.326006197,0.93034109
1880,1.102953208,0.950464932
1881,-0.099438375,-0.134866916
1882,1.099476929,1.399532556
1883,0.843701931,1.444959397
1884,0.929993694,0.444580202
1885,1.698734285,0.403059985
1886,1.107320036,0.322643948
